"Bot";"StartTime";"EndTime";"RouteType";"TaskType"
71;165.3498999961;211.9941597767;"ROUTE_1";"OUTPUT"
71;211.9941597767;274.8712026849;"ROUTE_2";"OUTPUT"
97;176.9998999983;224.7816939093;"ROUTE_1";"OUTPUT"
97;224.7816939093;275.9592806809;"ROUTE_2";"OUTPUT"
33;181.0151999965;214.3819442242;"ROUTE_1";"OUTPUT"
33;214.3819442242;276.0832858942;"ROUTE_2";"OUTPUT"
104;122.9630000032;229.5283999965;"ROUTE_1";"INPUT"
104;229.5283999965;276.8103496805;"ROUTE_2";"INPUT"
12;130.1127000004;202.8371495307;"ROUTE_1";"OUTPUT"
12;202.8371495307;277.2874674723;"ROUTE_2";"OUTPUT"
101;119.8196999989;170.8757267296;"ROUTE_1";"INPUT"
101;170.8757267296;279.3674560972;"ROUTE_2";"INPUT"
96;134.4210000038;218.1712999977;"ROUTE_1";"INPUT"
96;218.1712999977;280.3184406497;"ROUTE_2";"INPUT"
95;152.8643999994;213.8114348762;"ROUTE_1";"INPUT"
95;213.8114348762;283.0017377883;"ROUTE_2";"INPUT"
30;183.6000000015;227.8651799522;"ROUTE_1";"OUTPUT"
30;227.8651799522;283.1886228174;"ROUTE_2";"OUTPUT"
52;140.6379000023;221.3244000003;"ROUTE_1";"INPUT"
52;221.3244000003;286.4794449992;"ROUTE_2";"INPUT"
81;167.9274999984;222.1124526821;"ROUTE_1";"OUTPUT"
81;222.1124526821;293.1971992068;"ROUTE_2";"OUTPUT"
55;161.3498999961;222.9581159018;"ROUTE_1";"OUTPUT"
55;222.9581159018;294.933368165;"ROUTE_2";"OUTPUT"
69;157.8559999987;222.3346204013;"ROUTE_1";"OUTPUT"
69;222.3346204013;296.818937473;"ROUTE_2";"OUTPUT"
22;173.2322999984;231.6428684592;"ROUTE_1";"INPUT"
22;231.6428684592;297.265072532;"ROUTE_2";"INPUT"
2;171.8500000015;235.6170513369;"ROUTE_1";"OUTPUT"
2;235.6170513369;297.7353726812;"ROUTE_2";"OUTPUT"
59;177.8843000047;235.8304006457;"ROUTE_1";"INPUT"
59;235.8304006457;297.7528612502;"ROUTE_2";"INPUT"
