task;level;bot;taskType;routeType;isTrimmed;startTime;endTime;time;stayAtFinal;mvc;slotTime;slotNr;platformArrival
1693;0;1;INPUT;ROUTE_2;true;1052000.0;1080000.0;28000.0;12571.0;24;NA;NA;NA
1690;0;8;INPUT;ROUTE_1;true;995949.0;1047000.0;51051.0;32400.0;52;940000;188;940000
1690;0;8;INPUT;ROUTE_2;true;1072480.0;1080801.0;8321.0;0.0;52;NA;NA;NA
1688;0;7;INPUT;ROUTE_1;false;997096.0;1042000.0;44904.0;17000.0;20;935000;187;935000
1688;0;7;INPUT;ROUTE_2;false;1042000.0;1078484.0;36484.0;18000.0;20;NA;NA;NA
1699;0;2;INPUT;ROUTE_1;true;1021297.0;1072000.0;50703.0;32400.0;56;965000;193;965000
1699;0;2;INPUT;ROUTE_2;true;1072000.0;1080321.0;8321.0;0.0;56;NA;NA;NA
863;0;3;OUTPUT;ROUTE_1;false;987150.0;1024521.0;37371.0;16892.0;72;NA;NA;NA
863;0;3;OUTPUT;ROUTE_2;false;1024521.0;1058000.0;33479.0;13000.0;72;1055000;211;1055000
863;0;6;OUTPUT;BLOCKER;false;1022410.0;1040148.0;17738.0;4000.0;72;NA;NA;NA
1722;0;6;INPUT;ROUTE_1;true;1064690.0;1080984.0;16294.0;0.0;52;1000000;200;1000000
0;0;1;DISABLE_BOT;ROUTE_1;false;1080000.0;3160000.0;2080000.0;2080000.0;24;NA;NA;NA
880;0;7;OUTPUT;ROUTE_1;false;1107027.0;1130462.0;23435.0;11285.0;68;NA;NA;NA
880;0;7;OUTPUT;ROUTE_2;false;1130462.0;1168000.0;37538.0;13000.0;68;1165000;233;1165000
1690;0;8;INPUT_CONTINUE;ROUTE_1;false;1080801.0;1123981.0;43180.0;18000.0;52;NA;NA;NA
1699;0;2;INPUT_CONTINUE;ROUTE_1;false;1080321.0;1122108.0;41787.0;18000.0;56;NA;NA;NA
915;0;6;OUTPUT;ROUTE_1;false;1140232.0;1169912.0;29680.0;14592.0;40;NA;NA;NA
915;0;6;OUTPUT;ROUTE_2;false;1169912.0;1198000.0;28088.0;13000.0;40;1195000;239;1195000
910;0;4;OUTPUT;ROUTE_1;false;1141996.0;1158141.0;16145.0;12095.0;68;NA;NA;NA
910;0;4;OUTPUT;ROUTE_2;false;1158141.0;1193000.0;34859.0;13000.0;68;1190000;238;1190000
910;0;7;OUTPUT;BLOCKER;false;1172405.0;1191317.0;18912.0;4000.0;68;NA;NA;NA
924;0;3;OUTPUT;ROUTE_1;false;1122217.0;1162791.0;40574.0;19905.0;4;NA;NA;NA
924;0;3;OUTPUT;ROUTE_2;false;1162791.0;1203000.0;40209.0;13000.0;4;1200000;240;1200000
932;0;5;OUTPUT;ROUTE_1;false;1148699.0;1164237.0;15538.0;12163.0;36;NA;NA;NA
932;0;5;OUTPUT;ROUTE_2;false;1164237.0;1193000.0;28763.0;13000.0;36;1190000;238;1190000
954;0;2;OUTPUT;ROUTE_1;false;1178164.0;1192487.0;14323.0;12298.0;4;NA;NA;NA
954;0;2;OUTPUT;ROUTE_2;false;1192487.0;1228000.0;35513.0;13000.0;4;1225000;245;1225000
954;0;3;OUTPUT;BLOCKER;false;1207405.0;1227333.0;19928.0;4000.0;4;NA;NA;NA
974;0;8;OUTPUT;ROUTE_1;false;1136907.0;1198889.0;61982.0;22780.0;36;NA;NA;NA
974;0;8;OUTPUT;ROUTE_2;false;1198889.0;1228000.0;29111.0;13000.0;36;1225000;245;1225000
1738;0;7;INPUT;ROUTE_1;false;1211580.0;1252000.0;40420.0;24000.0;52;1145000;229;1145000
1738;0;7;INPUT;ROUTE_2;false;1252000.0;1298579.0;46579.0;18000.0;52;NA;NA;NA
1000;0;4;OUTPUT;ROUTE_1;false;1210249.0;1239921.0;29672.0;14593.0;68;NA;NA;NA
1000;0;4;OUTPUT;ROUTE_2;false;1239921.0;1268000.0;28079.0;13000.0;68;1265000;253;1265000
1017;0;5;OUTPUT;ROUTE_1;false;1211149.0;1251530.0;40381.0;20911.0;40;NA;NA;NA
1017;0;5;OUTPUT;ROUTE_2;false;1251530.0;1283000.0;31470.0;13000.0;40;1280000;256;1280000
1017;0;6;OUTPUT;BLOCKER;false;1203984.0;1223738.0;19754.0;4000.0;40;NA;NA;NA
1806;0;6;INPUT;ROUTE_1;false;1238437.0;1277000.0;38563.0;21285.0;52;1170000;234;1170000
1806;0;6;INPUT;ROUTE_2;false;1277000.0;1318188.0;41188.0;18000.0;52;NA;NA;NA
1827;0;3;INPUT;ROUTE_1;false;1240565.0;1287000.0;46435.0;26427.0;56;1180000;236;1180000
1827;0;3;INPUT;ROUTE_2;false;1287000.0;1323463.0;36463.0;18000.0;56;NA;NA;NA
1837;0;8;INPUT;ROUTE_1;false;1278952.0;1302000.0;23048.0;17000.0;24;1195000;239;1195000
1837;0;8;INPUT;ROUTE_2;false;1302000.0;1350453.0;48453.0;18000.0;24;NA;NA;NA
1837;0;6;INPUT;BLOCKER;false;1321243.0;1327318.0;6075.0;0.0;24;NA;NA;NA
1844;0;2;INPUT;ROUTE_1;false;1276936.0;1302000.0;25064.0;17000.0;20;1195000;239;1195000
1844;0;2;INPUT;ROUTE_2;false;1302000.0;1348442.0;46442.0;18000.0;20;NA;NA;NA
1850;0;4;INPUT;ROUTE_1;false;1331936.0;1357000.0;25064.0;17000.0;52;1250000;250;1250000
1850;0;4;INPUT;ROUTE_2;false;1357000.0;1406279.0;49279.0;18000.0;52;NA;NA;NA
1850;0;3;INPUT;BLOCKER;false;1348761.0;1361584.0;12823.0;0.0;52;NA;NA;NA
1875;0;5;INPUT;ROUTE_1;false;1361936.0;1387000.0;25064.0;17000.0;56;1280000;256;1280000
1875;0;5;INPUT;ROUTE_2;false;1387000.0;1422770.0;35770.0;18000.0;56;NA;NA;NA
1120;0;7;OUTPUT;ROUTE_1;false;1314814.0;1340072.0;25258.0;11083.0;68;NA;NA;NA
1120;0;7;OUTPUT;ROUTE_2;false;1340072.0;1368000.0;27928.0;13000.0;68;1365000;273;1365000
1790;0;6;INPUT;ROUTE_1;false;1375737.0;1422000.0;46263.0;17000.0;52;1315000;263;1315000
1790;0;6;INPUT;ROUTE_2;false;1422000.0;1462353.0;40353.0;18000.0;52;NA;NA;NA
1727;0;3;INPUT;ROUTE_1;false;1397944.0;1437000.0;39056.0;32400.0;56;1330000;266;1330000
1727;0;3;INPUT;ROUTE_2;false;1437000.0;1471420.0;34420.0;18000.0;56;NA;NA;NA
1859;0;7;INPUT;ROUTE_1;false;1433952.0;1457000.0;23048.0;17000.0;56;1350000;270;1350000
1859;0;7;INPUT;ROUTE_2;false;1457000.0;1496829.0;39829.0;18000.0;56;NA;NA;NA
1207;0;2;OUTPUT;ROUTE_1;false;1351231.0;1391323.0;40092.0;17435.0;8;NA;NA;NA
1207;0;2;OUTPUT;ROUTE_2;false;1391323.0;1433000.0;41677.0;23200.0;8;1430000;286;1430000
1209;0;8;OUTPUT;ROUTE_1;false;1367153.0;1418580.0;51427.0;25228.0;40;NA;NA;NA
1209;0;8;OUTPUT;ROUTE_2;false;1418580.0;1448000.0;29420.0;13000.0;40;1445000;289;1445000
14;1;11;OUTPUT;ROUTE_1;false;205348.0;225746.0;20398.0;11623.0;36;NA;NA;NA
14;1;11;OUTPUT;ROUTE_2;false;225746.0;268000.0;42254.0;13000.0;36;260000;52;255000
19;1;15;OUTPUT;ROUTE_1;false;223038.0;236146.0;13108.0;12433.0;8;NA;NA;NA
19;1;15;OUTPUT;ROUTE_2;false;236146.0;273000.0;36854.0;13000.0;8;265000;53;260000
46;1;9;OUTPUT;ROUTE_1;false;231594.0;251384.0;19790.0;11690.0;68;NA;NA;NA
46;1;9;OUTPUT;ROUTE_2;false;251384.0;293000.0;41616.0;13000.0;68;285000;57;280000
68;1;14;OUTPUT;ROUTE_1;false;270756.0;285079.0;14323.0;12298.0;36;NA;NA;NA
68;1;14;OUTPUT;ROUTE_2;false;285079.0;313000.0;27921.0;13000.0;36;305000;61;300000
68;1;11;OUTPUT;BLOCKER;false;282399.0;287096.0;4697.0;0.0;36;NA;NA;NA
76;1;13;OUTPUT;ROUTE_1;false;229556.0;269047.0;39491.0;17502.0;68;NA;NA;NA
76;1;13;OUTPUT;ROUTE_2;false;269047.0;318000.0;48953.0;13000.0;68;310000;62;305000
79;1;16;OUTPUT;ROUTE_1;false;238018.0;286471.0;48453.0;16506.0;8;NA;NA;NA
79;1;16;OUTPUT;ROUTE_2;false;286471.0;323000.0;36529.0;13000.0;8;315000;63;310000
79;1;15;OUTPUT;BLOCKER;false;289900.0;308487.0;18587.0;4000.0;8;NA;NA;NA
98;1;10;OUTPUT;ROUTE_1;false;256053.0;302821.0;46768.0;16693.0;36;NA;NA;NA
98;1;10;OUTPUT;ROUTE_2;false;302821.0;338000.0;35179.0;13000.0;36;330000;66;325000
98;1;14;OUTPUT;BLOCKER;false;317405.0;332093.0;14688.0;4000.0;36;NA;NA;NA
107;1;12;OUTPUT;ROUTE_1;false;282789.0;306832.0;24043.0;11218.0;72;NA;NA;NA
107;1;12;OUTPUT;ROUTE_2;false;306832.0;343000.0;36168.0;16000.0;72;335000;67;330000
107;1;11;OUTPUT;BLOCKER;false;300709.0;303176.0;2467.0;0.0;72;NA;NA;NA
1277;1;11;INPUT;ROUTE_1;false;382582.0;427000.0;44418.0;32400.0;24;325000;65;330000
1277;1;11;INPUT;ROUTE_2;false;427000.0;475279.0;48279.0;18000.0;24;NA;NA;NA
1279;1;15;INPUT;ROUTE_1;false;368539.0;432000.0;63461.0;32400.0;56;330000;66;335000
1279;1;15;INPUT;ROUTE_2;false;432000.0;473884.0;41884.0;18000.0;56;NA;NA;NA
142;1;9;OUTPUT;ROUTE_1;false;302150.0;345596.0;43446.0;29042.0;68;NA;NA;NA
142;1;9;OUTPUT;ROUTE_2;false;345596.0;373000.0;27404.0;13000.0;68;365000;73;360000
142;1;13;OUTPUT;BLOCKER;false;332859.0;372884.0;40025.0;4000.0;68;NA;NA;NA
1301;1;14;INPUT;ROUTE_1;false;415918.0;457000.0;41082.0;24000.0;24;355000;71;360000
1301;1;14;INPUT;ROUTE_2;false;457000.0;496829.0;39829.0;18000.0;24;NA;NA;NA
1299;1;13;INPUT;ROUTE_1;false;397214.0;457000.0;59786.0;21285.0;56;355000;71;360000
1299;1;13;INPUT;ROUTE_2;false;457000.0;498529.0;41529.0;18000.0;56;NA;NA;NA
177;1;16;OUTPUT;ROUTE_1;false;337762.0;379063.0;41301.0;21300.0;40;NA;NA;NA
177;1;16;OUTPUT;ROUTE_2;false;379063.0;408000.0;28937.0;13000.0;40;400000;80;395000
1315;1;10;INPUT;ROUTE_1;false;449920.0;477000.0;27080.0;17000.0;56;375000;75;380000
1315;1;10;INPUT;ROUTE_2;false;477000.0;515001.0;38001.0;18000.0;56;NA;NA;NA
1315;1;16;INPUT;BLOCKER;false;428370.0;445266.0;16896.0;4000.0;56;NA;NA;NA
196;1;12;OUTPUT;ROUTE_1;false;352005.0;386537.0;34532.0;14053.0;68;NA;NA;NA
196;1;12;OUTPUT;ROUTE_2;false;386537.0;418000.0;31463.0;13000.0;68;410000;82;405000
196;1;9;OUTPUT;BLOCKER;false;387398.0;392095.0;4697.0;0.0;68;NA;NA;NA
1330;1;9;INPUT;ROUTE_1;false;458007.0;497000.0;38993.0;24000.0;52;395000;79;400000
